Club,Goals,Assists,Shots,Shots On Target,Conversion %,Big Chances Missed,Hit Woodwork,Offsides,Touches,Passes,Successful Passes,Passes%,Crosses,Successful Crosses,Crosses %,fThird Passes,Successful fThird Passes,fThird Passes %,Through Balls,Carries,Progressive Carries,Carries Ended with Goal,Carries Ended with Assist,Carries Ended with Shot,Carries Ended with Chance,Possession Won,Dispossessed,Clean Sheets,Clearances,Interceptions,Blocks,Tackles,Ground Duels,gDuels Won,gDuels %,Aerial Duels,aDuels Won,aDuels %,Goals Conceded,xGoT Conceded,Own Goals,Fouls,Yellow Cards,Red Cards,Saves,Saves %,Penalties Saved,Clearances Off Line,Punches,High Claims,Goals Prevented
Arsenal,67,50,546,139,6.36,70,12,79,25434,15253,12960,49.56,451,87,8.84,4959,3760,43.04,88,4393,2378,7,16,81,114,1401,380,96,648,271,156,570,2552,1208,29.48,914,432,26.32,34,36,0,369,64,6,97,2.88,0,0,10,55,2.1
Aston Villa,61,46,495,126,4.56,77,18,60,23746,15320,12680,45.19,347,76,10.56,4331,3052,38.85,70,3897,2027,4,4,84,90,1436,389,67,744,295,158,640,2369,1182,27.78,1047,544,26.96,45,46,0,374,73,3,108,2.56,1,4,4,59,1.2
Bournemouth,24,28,584,189,4.72,68,23,70,23054,14512,12122,39.48,581,134,9.86,4589,3329,34.83,76,4072,2291,13,17,116,119,1351,350,61,998,315,118,697,2350,1175,24.83,934,480,24.45,39,41,0,500,99,3,117,2.45,0,2,25,23,2.1
Brentford,54,33,440,154,2.96,61,10,62,22670,10520,8846,38.68,492,111,8.36,3921,3041,36.18,52,2890,1547,9,14,114,84,1064,296,58,945,205,86,633,2009,1067,23.93,605,286,22.82,55,53,3,320,62,1,156,2.64,0,2,21,48,0.5
Brighton,0,0,2,0,0.0,0,0,0,122,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0.0,0,0,0.0,0,0,0,3,1,0,0,0.0,0,0,0,0,0.0
Brighton & Hove Albion,63,24,504,138,5.11,67,12,45,24561,16610,14415,49.21,384,97,11.82,4615,3549,42.54,58,4551,2338,8,14,106,91,1525,326,49,738,294,175,695,2379,1254,30.5,833,450,27.0,58,52,2,429,75,3,94,2.18,0,1,2,29,-4.2
Chelsea,63,32,604,189,6.89,84,21,66,26845,15981,13450,44.64,528,123,12.46,4562,3376,38.39,51,4193,2240,11,12,99,99,1555,301,81,701,301,151,601,2372,1216,27.71,1046,529,26.32,34,36,0,432,99,2,115,2.64,1,2,0,49,2.1
Crystal Palace,51,37,531,104,4.12,75,13,78,21746,13559,11702,44.92,128,34,11.69,2672,1882,37.58,21,3175,1574,3,4,37,41,1106,368,74,994,224,144,744,1669,886,29.81,1169,618,26.38,51,53,3,400,77,4,104,2.58,1,5,18,30,5.1
Everton,41,17,433,175,6.81,59,11,90,21137,14706,12633,55.77,344,64,11.19,4289,3287,50.08,52,3990,1920,10,14,119,86,1435,404,97,1059,255,119,744,2458,1171,31.69,831,375,30.19,44,50,0,437,84,2,122,2.85,2,7,22,31,6.0
Fulham,41,37,521,165,3.0,48,8,42,25200,13655,11579,48.46,643,142,10.38,4822,3743,44.04,73,4229,2148,9,19,133,141,1511,280,31,895,201,82,653,2340,1145,28.35,632,264,22.27,54,49,2,404,82,2,110,2.58,1,3,21,23,-2.7
Ipswich Town,23,20,396,104,3.13,42,10,50,20310,10230,8772,41.77,422,85,13.6,3116,2380,37.6,38,3350,1886,7,11,88,66,1066,341,13,1056,225,75,580,2094,987,23.37,535,240,20.03,63,58,2,403,86,6,134,4.27,0,5,2,71,-2.3000000000000003
Leicester City,28,21,308,161,5.94,32,10,58,22187,15834,13783,40.97,330,62,4.19,3989,2961,34.32,46,4083,2183,13,7,113,80,1215,293,19,937,324,178,702,2094,1044,25.32,926,501,22.9,74,72,3,352,82,0,135,4.13,1,6,20,36,3.0
Liverpool,72,60,648,165,4.75,92,22,59,27171,10846,9131,45.46,506,128,14.25,3757,2857,40.83,53,3313,1760,11,13,141,110,1279,346,94,664,250,66,614,2591,1319,27.62,540,262,23.21,41,43,2,430,65,3,106,5.92,1,2,21,17,5.9
