Player Name,Club,Appearances,Minutes,Goals Per 90,Assists Per 90,Shots Per 90,Shots On Target Per 90,Big Chances Missed Per 90,Touches Per 90,Passes Per 90,Successful Passes Per 90,Crosses Per 90,Successful Crosses Per 90,fThird Passes Per 90,Successful fThird Passes Per 90,Through Balls Per 90,Carries Per 90,Progressive Carries Per 90,Possession Won Per 90,Dispossessed Per 90,Clearances Per 90,Interceptions Per 90,Blocks Per 90,Tackles Per 90,Ground Duels Per 90,gDuels Won Per 90,Aerial Duels Per 90,aDuels Won Per 90,Goals Conceded Per 90
Ben White,Arsenal,17,1198,0.0,0.15,0.68,0.9,0.0,62.58,126.06,112.16,3.83,0.75,53.64,44.47,0.3,43.8,22.24,8.04,0.45,2.85,1.73,0.45,1.5,17.35,8.71,1.2,0.38,0.0
Bukayo Saka,Arsenal,25,1735,0.31,0.52,3.48,0.1,0.41,56.75,33.35,28.84,0.05,0.0,2.85,1.71,0.05,8.66,3.58,2.28,2.07,0.31,0.78,0.73,1.5,3.01,1.76,2.33,1.19,0.0
David Raya,Arsenal,38,3420,0.0,0.0,0.0,0.0,0.0,42.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89
Declan Rice,Arsenal,35,2833,0.13,0.22,1.52,0.57,0.06,64.05,25.07,20.36,2.0,0.22,15.25,11.56,0.35,13.06,8.26,3.84,1.02,1.59,0.41,0.16,1.68,10.86,3.84,0.83,0.32,0.0
Ethan Nwaneri,Arsenal,26,889,0.4,0.0,2.43,0.0,0.0,60.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.4,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0
Gabriel Jesus,Arsenal,17,603,0.45,0.0,2.99,0.0,0.45,48.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,1.04,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0
Gabriel Magalhães,Arsenal,28,2365,0.11,0.04,0.84,0.95,0.15,72.72,22.45,17.73,3.39,0.8,12.9,9.67,0.19,12.82,8.22,2.97,0.08,3.39,0.19,0.0,0.95,7.84,2.93,2.13,0.65,0.0
Gabriel Martinelli,Arsenal,33,2300,0.31,0.16,2.15,0.47,0.31,42.38,13.46,9.23,0.35,0.04,8.22,5.17,0.47,7.12,4.3,2.58,1.49,0.63,0.39,0.12,0.9,9.27,4.34,2.82,0.98,0.0
Jakub Kiwior,Arsenal,17,1117,0.08,0.0,0.24,0.08,0.0,69.37,42.95,37.14,2.09,0.48,10.64,7.49,0.0,8.14,4.19,5.24,0.0,4.59,0.73,0.24,1.77,4.27,2.18,1.61,1.05,0.0
Jorginho,Arsenal,15,702,0.0,0.0,0.26,0.0,0.0,70.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.26,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0
Jurriën Timber,Arsenal,30,2422,0.04,0.11,0.52,1.26,0.04,65.1,16.76,10.92,0.22,0.04,6.06,3.68,0.04,2.9,1.41,1.56,0.89,1.52,0.22,0.15,2.16,5.5,1.37,6.21,2.49,0.0
Kai Havertz,Arsenal,23,1874,0.43,0.14,2.55,0.1,0.72,40.2,25.36,20.55,0.29,0.1,7.2,5.04,0.05,5.57,1.63,3.27,1.1,1.54,0.91,0.29,0.77,6.1,2.83,1.44,0.38,0.0
Kieran Tierney,Arsenal,13,252,0.36,0.0,0.71,0.0,0.36,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Leandro Trossard,Arsenal,38,2550,0.28,0.25,2.54,0.07,0.32,49.76,33.53,27.0,2.4,0.49,10.41,7.84,0.11,7.62,4.76,3.99,1.84,0.49,0.88,0.28,1.09,5.89,3.14,2.08,1.24,0.0
Martin Ødegaard,Arsenal,30,2328,0.12,0.31,1.89,0.46,0.15,69.24,72.6,67.35,0.0,0.0,27.87,24.7,0.58,22.23,10.01,4.41,1.55,0.19,0.93,0.0,0.73,8.27,4.52,0.73,0.39,0.0
Mikel Merino,Arsenal,28,1581,0.4,0.11,2.16,0.4,0.46,48.16,77.87,60.46,4.33,1.08,36.2,25.39,1.54,23.85,13.61,10.19,1.54,1.31,1.54,0.17,2.62,17.65,9.11,2.28,0.68,0.0
Myles Lewis-Skelly,Arsenal,23,1370,0.07,0.0,0.2,0.39,0.0,63.33,128.82,111.22,0.53,0.13,18.92,11.17,0.2,30.15,17.54,10.64,0.59,1.58,2.23,3.74,1.45,8.47,4.93,12.42,7.82,0.0
Nathan Butler-Oyedeji,Arsenal,1,6,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neto,Arsenal,2,180,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oleksandr Zinchenko,Arsenal,15,522,0.0,0.0,1.72,0.0,0.0,88.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.55,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0
Raheem Sterling,Arsenal,17,496,0.0,0.36,2.0,0.0,0.18,54.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,0.54,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0
Riccardo Calafiori,Arsenal,19,984,0.18,0.09,0.91,0.18,0.09,62.47,110.12,100.7,0.55,0.0,38.05,33.38,0.27,26.16,12.99,8.69,0.46,2.2,1.19,0.64,0.0,11.25,6.68,1.83,0.55,0.0
Takehiro Tomiyasu,Arsenal,1,6,0.0,0.0,15.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Partey,Arsenal,35,2799,0.13,0.0,0.84,0.1,0.1,73.6,25.27,20.96,1.19,0.13,5.92,4.66,0.0,4.24,2.41,1.83,0.55,1.41,0.71,0.19,2.86,3.18,1.8,2.28,1.13,0.0
William Saliba,Arsenal,35,3041,0.06,0.0,0.18,0.03,0.06,85.32,45.87,40.55,0.15,0.0,5.21,2.99,0.06,9.8,5.5,2.66,0.24,3.49,0.77,1.01,1.83,3.2,1.66,2.49,1.39,0.0
Amadou Onana,Aston Villa,26,1624,0.17,0.0,0.94,0.5,0.11,58.58,43.56,33.86,2.66,0.28,19.06,13.36,0.28,9.59,4.54,5.54,0.5,2.22,0.44,0.11,3.05,8.37,3.38,2.05,0.78,0.0
Andrés García,Aston Villa,7,317,0.0,0.0,0.57,0.0,0.0,76.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.27,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0
Axel Disasi,Aston Villa,13,853,0.11,0.0,0.42,0.0,0.0,71.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,2.95,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0
Boubacar Kamara,Aston Villa,26,1725,0.05,0.0,0.52,0.0,0.05,61.77,63.55,55.62,0.52,0.21,12.0,9.39,0.16,14.24,6.73,7.3,0.89,2.45,1.41,0.52,2.61,8.24,4.49,1.72,1.15,0.0
Diego Carlos,Aston Villa,10,828,0.0,0.0,0.43,0.0,0.22,73.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0
Donyell Malen,Aston Villa,14,298,0.91,0.0,4.53,0.0,1.21,43.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.3,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0
Emiliano Buendía,Aston Villa,12,89,0.0,0.0,5.06,0.0,1.01,95.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,1.01,0.0,0.0,6.07,0.0,0.0,0.0,0.0,0.0
Emiliano Martínez,Aston Villa,37,3195,0.0,0.0,0.0,0.0,0.0,44.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.08,0.0,0.0,0.0,0.0,1.27
Ezri Konsa,Aston Villa,34,2937,0.06,0.0,0.34,0.34,0.0,60.89,59.51,50.29,0.4,0.03,11.43,6.93,0.12,12.9,7.11,4.11,0.31,3.28,1.38,0.77,1.04,3.59,1.72,4.11,1.81,0.0
Ian Maatsen,Aston Villa,29,1128,0.08,0.16,1.52,0.32,0.0,77.87,151.36,136.68,0.0,0.0,22.9,17.47,0.08,31.2,18.11,7.82,1.99,2.15,1.36,1.12,2.31,8.06,4.95,8.46,5.98,0.0
Jacob Ramsey,Aston Villa,29,1628,0.06,0.17,1.05,0.44,0.11,45.88,42.46,36.15,1.27,0.0,22.17,17.8,0.39,18.19,10.06,5.47,1.27,0.44,0.11,0.0,1.66,7.91,3.81,0.94,0.33,0.0
Jhon Durán,Aston Villa,20,626,1.01,0.0,4.46,0.0,1.01,42.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,1.73,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0
John McGinn,Aston Villa,34,2230,0.04,0.16,1.25,0.81,0.16,47.91,25.26,18.85,0.85,0.2,13.4,9.28,0.4,11.02,5.57,2.38,1.17,0.57,0.36,0.0,1.33,8.23,3.63,3.59,1.7,0.0
Kosta Nedeljkovic,Aston Villa,5,121,0.0,0.0,0.0,0.0,0.0,52.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,5.21,0.0,0.0,0.0,0.0,0.0
Lamare Bogarde,Aston Villa,8,475,0.0,0.0,0.19,0.0,0.0,65.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,2.27,0.0,0.0,2.65,0.0,0.0,0.0,0.0,0.0
Leon Bailey,Aston Villa,24,1143,0.08,0.16,2.2,0.08,0.08,47.24,55.12,47.17,0.47,0.08,15.12,11.73,0.16,14.41,7.09,5.28,1.97,0.63,1.1,0.79,0.55,12.05,6.61,3.07,1.65,0.0
Lucas Digne,Aston Villa,32,2358,0.0,0.15,0.5,0.23,0.04,60.53,53.7,42.33,0.88,0.19,19.39,12.48,0.69,8.97,3.82,5.69,0.61,3.21,0.69,0.15,2.48,11.49,5.69,4.05,1.83,0.0
Marco Asensio,Aston Villa,13,745,0.36,0.12,2.9,0.0,0.48,49.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.36,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0
Marcus Rashford,Aston Villa,25,1426,0.38,0.19,2.21,1.07,0.32,44.56,49.99,40.14,3.28,1.01,25.88,20.39,0.32,20.39,11.17,7.51,0.44,0.57,0.32,0.19,1.07,14.33,6.25,3.72,1.64,0.0
Matty Cash,Aston Villa,27,2077,0.04,0.04,0.56,0.26,0.0,54.21,63.61,52.13,0.3,0.09,7.93,4.12,0.13,15.73,6.46,5.63,0.43,2.51,2.34,0.91,2.43,6.59,4.07,4.81,2.64,0.0
Morgan Rogers,Aston Villa,37,3129,0.23,0.29,1.58,0.17,0.32,43.95,40.84,32.47,0.23,0.06,10.12,6.21,0.23,8.83,5.38,4.08,2.13,0.52,1.04,1.21,1.24,4.34,2.47,1.93,1.27,0.0
Ollie Watkins,Aston Villa,38,2610,0.55,0.28,2.9,0.59,0.93,27.03,9.86,8.31,0.45,0.14,5.59,4.52,0.07,4.97,2.86,1.28,1.72,0.48,0.21,0.03,0.34,4.0,1.83,0.55,0.17,0.0
Pau Torres,Aston Villa,24,2020,0.0,0.0,0.36,0.67,0.0,69.55,11.63,7.13,0.0,0.0,4.32,2.09,0.0,2.76,0.85,0.85,0.22,3.3,0.04,0.09,0.94,4.95,1.38,6.86,4.14,0.0
Robin Olsen,Aston Villa,4,225,0.0,0.0,0.0,0.0,0.0,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
Ross Barkley,Aston Villa,20,569,0.47,0.16,2.53,0.0,0.16,77.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.79,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0
