Player Name,Club,Clean Sheets_Percentile,Possession Won_Percentile,Clearances_Percentile,Interceptions_Percentile,Blocks_Percentile,Tackles_Percentile,Ground Duels_Percentile,gDuels %_Percentile,Aerial Duels_Percentile,aDuels %_Percentile,xGoT Conceded_Percentile,Goals Conceded_Percentile,Defending_Percentile
Maxence Lacroix,Crystal Palace,85.83,82.5,91.67,90.0,100.0,84.17,20.0,96.67,95.0,97.5,50.83,50.83,78.75
Nikola Milenkovic,Nottingham Forest,97.5,85.0,93.33,88.33,58.33,45.83,81.67,90.83,75.0,87.5,50.83,50.83,75.42
Marc Cucurella,Chelsea,61.67,82.5,51.67,78.33,95.0,81.67,48.33,95.0,88.33,59.17,50.83,50.83,70.28
Ibrahima Konaté,Liverpool,85.83,98.33,73.33,96.67,58.33,29.17,95.0,76.67,30.83,90.0,50.83,50.83,69.65
Nathan Collins,Brentford,50.0,63.33,98.33,84.17,69.17,29.17,79.17,88.33,63.33,75.0,50.83,50.83,66.81
Levi Colwill,Chelsea,71.67,93.33,68.33,91.67,77.5,35.83,69.17,58.33,67.5,62.5,50.83,50.83,66.46
William Saliba,Arsenal,95.0,51.67,70.0,72.5,98.33,75.0,23.33,65.0,76.67,67.5,50.83,50.83,66.39
Virgil van Dijk,Liverpool,100.0,48.33,86.67,93.33,58.33,20.83,53.33,86.67,78.33,67.5,50.83,50.83,66.25
Ryan Gravenberch,Liverpool,85.83,58.33,41.67,72.5,69.17,86.67,58.33,58.33,70.83,87.5,50.83,50.83,65.9
Rúben Dias,Manchester City,85.83,96.67,48.33,98.33,69.17,5.83,85.0,76.67,30.83,91.67,50.83,50.83,65.83
Antoine Semenyo,Bournemouth,6.67,90.83,22.5,100.0,53.33,59.17,87.5,69.17,70.83,97.5,50.83,50.83,63.26
Bruno Fernandes,Manchester United,61.67,95.0,18.33,80.83,69.17,88.33,98.33,69.17,27.5,48.33,50.83,50.83,63.19
Tosin Adarabioyo,Chelsea,27.5,67.5,50.0,68.33,88.33,5.83,46.67,93.33,73.33,93.33,50.83,50.83,59.65
Dean Huijsen,Bournemouth,27.5,88.33,89.17,68.33,83.33,16.67,55.0,44.17,60.0,81.67,50.83,50.83,59.65
Moisés Caicedo,Chelsea,71.67,71.67,38.33,62.5,36.67,96.67,79.17,31.67,81.67,40.0,50.83,50.83,59.31
Vitalii Mykolenko,Everton,71.67,60.0,76.67,75.83,58.33,76.67,25.0,58.33,23.33,81.67,50.83,50.83,59.1
Ezri Konsa,Aston Villa,50.0,76.67,63.33,95.0,96.67,11.67,33.33,44.17,90.83,43.33,50.83,50.83,58.89
Josko Gvardiol,Manchester City,85.83,55.0,65.0,59.17,30.0,67.5,65.0,76.67,35.83,51.67,50.83,50.83,57.78
Dan Burn,Newcastle United,97.5,53.33,89.17,36.67,69.17,25.0,61.67,36.67,86.67,35.83,50.83,50.83,57.78
Tino Livramento,Newcastle United,27.5,31.67,55.83,56.67,92.5,56.67,50.83,44.17,96.67,75.0,50.83,50.83,57.43
Marc Guéhi,Crystal Palace,85.83,39.17,81.67,46.67,50.83,72.5,20.0,65.0,58.33,55.83,50.83,50.83,56.46
Ryan Yates,Nottingham Forest,6.67,90.83,43.33,80.83,83.33,31.67,75.0,65.0,35.83,40.0,50.83,50.83,54.51
Boubacar Kamara,Aston Villa,6.67,80.0,31.67,75.83,69.17,43.33,50.83,71.67,25.0,97.5,50.83,50.83,54.44
Toti Gomes,Wolverhampton Wanderers,50.0,75.0,80.0,84.17,58.33,72.5,63.33,51.67,5.0,3.33,50.83,50.83,53.75
Illia Zabarnyi,Bournemouth,50.0,65.0,83.33,30.83,44.17,49.17,66.67,36.67,80.0,35.83,50.83,50.83,53.61
Keane Lewis-Potter,Brentford,27.5,41.67,46.67,86.67,80.0,40.83,41.67,73.33,41.67,59.17,50.83,50.83,53.4
Jan Paul van Hecke,Brighton & Hove Albion,27.5,18.33,78.33,51.67,83.33,33.33,6.67,90.83,39.17,81.67,50.83,50.83,51.04
Tyrick Mitchell,Crystal Palace,27.5,5.83,58.33,25.83,77.5,93.33,1.67,100.0,45.83,62.5,50.83,50.83,50.0
Murillo,Nottingham Forest,85.83,28.33,100.0,25.83,16.67,53.33,27.5,98.33,10.0,51.67,50.83,50.83,49.93
Joelinton,Newcastle United,27.5,100.0,30.0,68.33,30.0,63.33,96.67,44.17,27.5,10.0,50.83,50.83,49.93
James Tarkowski,Everton,71.67,39.17,95.0,43.33,36.67,78.33,10.0,29.17,12.5,75.0,50.83,50.83,49.38
Ola Aina,Nottingham Forest,85.83,18.33,61.67,36.67,50.83,59.17,13.33,58.33,6.67,97.5,50.83,50.83,49.17
Thomas Partey,Arsenal,27.5,30.0,28.33,59.17,44.17,90.0,16.67,80.83,65.0,45.83,50.83,50.83,49.1
Sandro Tonali,Newcastle United,71.67,15.0,4.17,48.33,92.5,45.83,15.0,80.83,61.67,51.67,50.83,50.83,49.03
Ashley Young,Everton,27.5,23.33,40.0,62.5,69.17,67.5,11.67,83.33,33.33,67.5,50.83,50.83,48.96
Jarrad Branthwaite,Everton,50.0,73.33,85.0,51.67,30.0,16.67,91.67,22.5,55.0,5.0,50.83,50.83,48.54
Fabian Schär,Newcastle United,71.67,46.67,75.0,40.0,44.17,16.67,87.5,22.5,50.0,14.17,50.83,50.83,47.5
Erling Haaland,Manchester City,6.67,25.83,16.67,65.0,90.0,1.67,8.33,85.0,83.33,85.0,50.83,50.83,47.43
Alexis Mac Allister,Liverpool,61.67,61.67,4.17,36.67,23.33,95.0,76.67,48.33,15.83,30.0,50.83,50.83,46.25
Idrissa Gueye,Everton,85.83,12.5,22.5,10.0,86.67,100.0,5.0,51.67,3.33,75.0,50.83,50.83,46.18
Daniel Muñoz,Crystal Palace,85.83,18.33,55.83,15.83,30.0,98.33,38.33,36.67,43.33,16.67,50.83,50.83,45.07
