Player Name,Club,Goals_Percentile,Shots_Percentile,Shots_On_Target_Percentile,Conversion_Percentile,Attacking_Percentile
Nicolas Jackson,Chelsea,96.19047619047619,95.23809523809523,97.46031746031746,98.73015873015873,96.9
Bryan Mbeumo,Brentford,98.88888888888889,96.5079365079365,93.17460317460318,98.73015873015873,96.83
Mohamed Salah,Liverpool,100.0,100.0,92.06349206349206,91.74603174603175,95.95
Dominic Solanke,Tottenham Hotspur,94.12698412698413,90.31746031746032,93.17460317460318,98.73015873015873,94.09
Anthony Gordon,Newcastle United,84.92063492063492,89.52380952380953,98.57142857142858,98.73015873015873,92.94
Yoane Wissa,Brentford,98.4126984126984,97.14285714285714,84.12698412698413,91.74603174603175,92.86
Alejandro Garnacho,Manchester United,84.92063492063492,96.03174603174604,96.98412698412699,91.74603174603175,92.42
Eberechi Eze,Crystal Palace,91.26984126984127,98.4126984126984,86.19047619047619,91.74603174603175,91.9
Jean-Philippe Mateta,Crystal Palace,97.14285714285714,93.65079365079364,64.76190476190476,98.73015873015873,88.57
Kaoru Mitoma,Brighton & Hove Albion,96.19047619047619,87.93650793650794,85.07936507936508,82.53968253968253,87.94
Omar Marmoush,Manchester City,88.25396825396825,82.22222222222221,89.20634920634922,91.74603174603175,87.86
Ollie Watkins,Aston Villa,98.09523809523809,96.03174603174604,87.3015873015873,67.3015873015873,87.18
Alex Iwobi,Fulham,94.12698412698413,93.01587301587301,96.03174603174604,65.39682539682539,87.14
Alexander Isak,Newcastle United,99.68253968253968,98.09523809523809,85.07936507936508,65.39682539682539,87.06
Cody Gakpo,Liverpool,96.19047619047619,87.93650793650794,99.68253968253968,63.49206349206349,86.83
Enzo Fernández,Chelsea,84.92063492063492,84.28571428571429,100.0,76.19047619047619,86.35
Erling Haaland,Manchester City,99.36507936507937,98.73015873015873,67.61904761904762,76.19047619047619,85.48
Morgan Rogers,Aston Villa,91.26984126984127,86.34920634920636,67.61904761904762,95.71428571428572,85.24
Bruno Guimarães,Newcastle United,81.42857142857143,79.84126984126985,98.57142857142858,78.41269841269842,84.56
Morgan Gibbs-White,Nottingham Forest,88.25396825396825,90.7936507936508,90.15873015873017,68.88888888888889,84.52
Rodrigo Muniz,Fulham,91.26984126984127,75.55555555555556,82.22222222222221,88.25396825396825,84.33
Cole Palmer,Chelsea,97.61904761904762,99.68253968253968,52.539682539682545,86.98412698412699,84.21
Kevin De Bruyne,Manchester City,77.46031746031747,87.93650793650794,95.07936507936508,76.19047619047619,84.17
Beto,Everton,91.26984126984127,82.22222222222221,71.26984126984127,91.74603174603175,84.13
Chris Wood,Nottingham Forest,98.88888888888889,93.01587301587301,52.539682539682545,91.74603174603175,84.05
Bruno Fernandes,Manchester United,91.26984126984127,97.61904761904762,85.71428571428571,61.111111111111114,83.93
Harvey Barnes,Newcastle United,94.12698412698413,91.58730158730158,64.76190476190476,85.23809523809524,83.93
Mateo Kovacic,Manchester City,84.92063492063492,79.84126984126985,85.07936507936508,85.23809523809524,83.77
Georginio Rutter,Brighton & Hove Albion,81.42857142857143,83.01587301587303,74.76190476190476,91.74603174603175,82.74
Darwin Núñez,Liverpool,81.42857142857143,71.11111111111111,82.22222222222221,95.71428571428572,82.62
Marcus Rashford,Aston Villa,84.92063492063492,72.38095238095238,87.3015873015873,85.23809523809524,82.46
Dwight McNeil,Everton,77.46031746031747,60.476190476190474,96.03174603174604,95.71428571428572,82.42
Dango Ouattara,Bournemouth,88.25396825396825,91.11111111111111,88.4126984126984,61.111111111111114,82.22
Tomás Soucek,West Ham United,94.12698412698413,86.34920634920636,52.539682539682545,95.71428571428572,82.18
Paul Onuachu,Southampton,77.46031746031747,71.11111111111111,87.3015873015873,91.74603174603175,81.9
Joelinton,Newcastle United,77.46031746031747,79.84126984126985,71.26984126984127,98.73015873015873,81.83
Pedro Neto,Chelsea,77.46031746031747,89.52380952380953,74.76190476190476,85.23809523809524,81.75
Dominik Szoboszlai,Liverpool,84.92063492063492,92.22222222222223,79.36507936507937,70.15873015873015,81.67
Leandro Trossard,Arsenal,91.26984126984127,94.28571428571428,52.539682539682545,88.25396825396825,81.59
Lucas Paquetá,West Ham United,77.46031746031747,76.98412698412699,96.98412698412699,73.17460317460316,81.15
Jamie Vardy,Leicester City,94.12698412698413,88.88888888888889,57.61904761904761,83.4920634920635,81.03
James Maddison,Tottenham Hotspur,94.12698412698413,75.55555555555556,61.904761904761905,91.74603174603175,80.83
Yankuba Minteh,Brighton & Hove Albion,84.92063492063492,71.11111111111111,74.76190476190476,91.74603174603175,80.63
Mikel Merino,Arsenal,88.25396825396825,74.44444444444444,71.26984126984127,88.25396825396825,80.56
