Player Name,Club,Clean Sheets,Goals Conceded,Saves,Saves %,Penalties Saved,Punches,High Claims,Goals Prevented
David Raya,Arsenal,13,34,86,72%,0,8,53,2.1
Matz Sels,Nottingham Forest,13,46,120,72%,0,28,19,4.3
Jordan Pickford,Everton,12,44,122,74%,2,22,31,6.0
Dean Henderson,Crystal Palace,11,51,104,67%,1,18,30,5.1
Ederson,Manchester City,10,26,54,68%,0,5,13,5.4
Robert Sánchez,Chelsea,10,34,95,74%,1,0,47,2.1
Alisson Becker,Liverpool,9,29,78,73%,0,18,11,4.0
André Onana,Manchester United,9,44,90,67%,1,0,22,1.5
Kepa,Bournemouth,8,39,97,71%,0,21,22,2.1
Emiliano Martínez,Aston Villa,8,45,100,69%,1,3,56,1.2
Nick Pope,Newcastle United,8,35,88,72%,1,21,39,2.2
Mark Flekken,Brentford,7,55,153,74%,0,20,46,0.5
Bart Verbruggen,Brighton & Hove Albion,7,58,91,61%,0,0,27,-4.2
José Sá,Wolverhampton Wanderers,7,48,71,60%,2,0,32,-2.2
